text,label
The streetlight at Main St is broken (0),complaint
There is a pothole near Oak Avenue (1),complaint
Can you build a new park in our area? (2),suggestion
I would like more dustbins in the street (3),suggestion
What is the status of my query 123? (4),status
Has my complaint been resolved? (5),status
I want to register a new query (6),request
Please log a request for water supply (7),request
The streetlight at Main St is broken (8),complaint
There is a pothole near Oak Avenue (9),complaint
Can you build a new park in our area? (10),suggestion
I would like more dustbins in the street (11),suggestion
What is the status of my query 123? (12),status
Has my complaint been resolved? (13),status
I want to register a new query (14),request
Please log a request for water supply (15),request
The streetlight at Main St is broken (16),complaint
There is a pothole near Oak Avenue (17),complaint
Can you build a new park in our area? (18),suggestion
I would like more dustbins in the street (19),suggestion
What is the status of my query 123? (20),status
Has my complaint been resolved? (21),status
I want to register a new query (22),request
Please log a request for water supply (23),request
The streetlight at Main St is broken (24),complaint
There is a pothole near Oak Avenue (25),complaint
Can you build a new park in our area? (26),suggestion
I would like more dustbins in the street (27),suggestion
What is the status of my query 123? (28),status
Has my complaint been resolved? (29),status
I want to register a new query (30),request
Please log a request for water supply (31),request
The streetlight at Main St is broken (32),complaint
There is a pothole near Oak Avenue (33),complaint
Can you build a new park in our area? (34),suggestion
I would like more dustbins in the street (35),suggestion
What is the status of my query 123? (36),status
Has my complaint been resolved? (37),status
I want to register a new query (38),request
Please log a request for water supply (39),request
The streetlight at Main St is broken (40),complaint
There is a pothole near Oak Avenue (41),complaint
Can you build a new park in our area? (42),suggestion
I would like more dustbins in the street (43),suggestion
What is the status of my query 123? (44),status
Has my complaint been resolved? (45),status
I want to register a new query (46),request
Please log a request for water supply (47),request
The streetlight at Main St is broken (48),complaint
There is a pothole near Oak Avenue (49),complaint
Can you build a new park in our area? (50),suggestion
I would like more dustbins in the street (51),suggestion
What is the status of my query 123? (52),status
Has my complaint been resolved? (53),status
I want to register a new query (54),request
Please log a request for water supply (55),request
The streetlight at Main St is broken (56),complaint
There is a pothole near Oak Avenue (57),complaint
Can you build a new park in our area? (58),suggestion
I would like more dustbins in the street (59),suggestion
What is the status of my query 123? (60),status
Has my complaint been resolved? (61),status
I want to register a new query (62),request
Please log a request for water supply (63),request
The streetlight at Main St is broken (64),complaint
There is a pothole near Oak Avenue (65),complaint
Can you build a new park in our area? (66),suggestion
I would like more dustbins in the street (67),suggestion
What is the status of my query 123? (68),status
Has my complaint been resolved? (69),status
I want to register a new query (70),request
Please log a request for water supply (71),request
The streetlight at Main St is broken (72),complaint
There is a pothole near Oak Avenue (73),complaint
Can you build a new park in our area? (74),suggestion
I would like more dustbins in the street (75),suggestion
What is the status of my query 123? (76),status
Has my complaint been resolved? (77),status
I want to register a new query (78),request
Please log a request for water supply (79),request
The streetlight at Main St is broken (80),complaint
There is a pothole near Oak Avenue (81),complaint
Can you build a new park in our area? (82),suggestion
I would like more dustbins in the street (83),suggestion
What is the status of my query 123? (84),status
Has my complaint been resolved? (85),status
I want to register a new query (86),request
Please log a request for water supply (87),request
The streetlight at Main St is broken (88),complaint
There is a pothole near Oak Avenue (89),complaint
Can you build a new park in our area? (90),suggestion
I would like more dustbins in the street (91),suggestion
What is the status of my query 123? (92),status
Has my complaint been resolved? (93),status
I want to register a new query (94),request
Please log a request for water supply (95),request
The streetlight at Main St is broken (96),complaint
There is a pothole near Oak Avenue (97),complaint
Can you build a new park in our area? (98),suggestion
I would like more dustbins in the street (99),suggestion
What is the status of my query 123? (100),status
Has my complaint been resolved? (101),status
I want to register a new query (102),request
Please log a request for water supply (103),request
The streetlight at Main St is broken (104),complaint
There is a pothole near Oak Avenue (105),complaint
Can you build a new park in our area? (106),suggestion
I would like more dustbins in the street (107),suggestion
What is the status of my query 123? (108),status
Has my complaint been resolved? (109),status
I want to register a new query (110),request
Please log a request for water supply (111),request
The streetlight at Main St is broken (112),complaint
There is a pothole near Oak Avenue (113),complaint
Can you build a new park in our area? (114),suggestion
I would like more dustbins in the street (115),suggestion
What is the status of my query 123? (116),status
Has my complaint been resolved? (117),status
I want to register a new query (118),request
Please log a request for water supply (119),request
The streetlight at Main St is broken (120),complaint
There is a pothole near Oak Avenue (121),complaint
Can you build a new park in our area? (122),suggestion
I would like more dustbins in the street (123),suggestion
What is the status of my query 123? (124),status
Has my complaint been resolved? (125),status
I want to register a new query (126),request
Please log a request for water supply (127),request
The streetlight at Main St is broken (128),complaint
There is a pothole near Oak Avenue (129),complaint
Can you build a new park in our area? (130),suggestion
I would like more dustbins in the street (131),suggestion
What is the status of my query 123? (132),status
Has my complaint been resolved? (133),status
I want to register a new query (134),request
Please log a request for water supply (135),request
The streetlight at Main St is broken (136),complaint
There is a pothole near Oak Avenue (137),complaint
Can you build a new park in our area? (138),suggestion
I would like more dustbins in the street (139),suggestion
What is the status of my query 123? (140),status
Has my complaint been resolved? (141),status
I want to register a new query (142),request
Please log a request for water supply (143),request
The streetlight at Main St is broken (144),complaint
There is a pothole near Oak Avenue (145),complaint
Can you build a new park in our area? (146),suggestion
I would like more dustbins in the street (147),suggestion
What is the status of my query 123? (148),status
Has my complaint been resolved? (149),status
I want to register a new query (150),request
Please log a request for water supply (151),request
The streetlight at Main St is broken (152),complaint
There is a pothole near Oak Avenue (153),complaint
Can you build a new park in our area? (154),suggestion
I would like more dustbins in the street (155),suggestion
What is the status of my query 123? (156),status
Has my complaint been resolved? (157),status
I want to register a new query (158),request
Please log a request for water supply (159),request
The streetlight at Main St is broken (160),complaint
There is a pothole near Oak Avenue (161),complaint
Can you build a new park in our area? (162),suggestion
I would like more dustbins in the street (163),suggestion
What is the status of my query 123? (164),status
Has my complaint been resolved? (165),status
I want to register a new query (166),request
Please log a request for water supply (167),request
The streetlight at Main St is broken (168),complaint
There is a pothole near Oak Avenue (169),complaint
Can you build a new park in our area? (170),suggestion
I would like more dustbins in the street (171),suggestion
What is the status of my query 123? (172),status
Has my complaint been resolved? (173),status
I want to register a new query (174),request
Please log a request for water supply (175),request
The streetlight at Main St is broken (176),complaint
There is a pothole near Oak Avenue (177),complaint
Can you build a new park in our area? (178),suggestion
I would like more dustbins in the street (179),suggestion
What is the status of my query 123? (180),status
Has my complaint been resolved? (181),status
I want to register a new query (182),request
Please log a request for water supply (183),request
The streetlight at Main St is broken (184),complaint
There is a pothole near Oak Avenue (185),complaint
Can you build a new park in our area? (186),suggestion
I would like more dustbins in the street (187),suggestion
What is the status of my query 123? (188),status
Has my complaint been resolved? (189),status
I want to register a new query (190),request
Please log a request for water supply (191),request
The streetlight at Main St is broken (192),complaint
There is a pothole near Oak Avenue (193),complaint
Can you build a new park in our area? (194),suggestion
I would like more dustbins in the street (195),suggestion
What is the status of my query 123? (196),status
Has my complaint been resolved? (197),status
I want to register a new query (198),request
Please log a request for water supply (199),request
The streetlight at Main St is broken (200),complaint
There is a pothole near Oak Avenue (201),complaint
Can you build a new park in our area? (202),suggestion
I would like more dustbins in the street (203),suggestion
What is the status of my query 123? (204),status
Has my complaint been resolved? (205),status
I want to register a new query (206),request
Please log a request for water supply (207),request
The streetlight at Main St is broken (208),complaint
There is a pothole near Oak Avenue (209),complaint
Can you build a new park in our area? (210),suggestion
I would like more dustbins in the street (211),suggestion
What is the status of my query 123? (212),status
Has my complaint been resolved? (213),status
I want to register a new query (214),request
Please log a request for water supply (215),request
The streetlight at Main St is broken (216),complaint
There is a pothole near Oak Avenue (217),complaint
Can you build a new park in our area? (218),suggestion
I would like more dustbins in the street (219),suggestion
What is the status of my query 123? (220),status
Has my complaint been resolved? (221),status
I want to register a new query (222),request
Please log a request for water supply (223),request
The streetlight at Main St is broken (224),complaint
There is a pothole near Oak Avenue (225),complaint
Can you build a new park in our area? (226),suggestion
I would like more dustbins in the street (227),suggestion
What is the status of my query 123? (228),status
Has my complaint been resolved? (229),status
I want to register a new query (230),request
Please log a request for water supply (231),request
The streetlight at Main St is broken (232),complaint
There is a pothole near Oak Avenue (233),complaint
Can you build a new park in our area? (234),suggestion
I would like more dustbins in the street (235),suggestion
What is the status of my query 123? (236),status
Has my complaint been resolved? (237),status
I want to register a new query (238),request
Please log a request for water supply (239),request
The streetlight at Main St is broken (240),complaint
There is a pothole near Oak Avenue (241),complaint
Can you build a new park in our area? (242),suggestion
I would like more dustbins in the street (243),suggestion
What is the status of my query 123? (244),status
Has my complaint been resolved? (245),status
I want to register a new query (246),request
Please log a request for water supply (247),request
The streetlight at Main St is broken (248),complaint
There is a pothole near Oak Avenue (249),complaint
Can you build a new park in our area? (250),suggestion
I would like more dustbins in the street (251),suggestion
What is the status of my query 123? (252),status
Has my complaint been resolved? (253),status
I want to register a new query (254),request
Please log a request for water supply (255),request
The streetlight at Main St is broken (256),complaint
There is a pothole near Oak Avenue (257),complaint
Can you build a new park in our area? (258),suggestion
I would like more dustbins in the street (259),suggestion
What is the status of my query 123? (260),status
Has my complaint been resolved? (261),status
I want to register a new query (262),request
Please log a request for water supply (263),request
The streetlight at Main St is broken (264),complaint
There is a pothole near Oak Avenue (265),complaint
Can you build a new park in our area? (266),suggestion
I would like more dustbins in the street (267),suggestion
What is the status of my query 123? (268),status
Has my complaint been resolved? (269),status
I want to register a new query (270),request
Please log a request for water supply (271),request
The streetlight at Main St is broken (272),complaint
There is a pothole near Oak Avenue (273),complaint
Can you build a new park in our area? (274),suggestion
I would like more dustbins in the street (275),suggestion
What is the status of my query 123? (276),status
Has my complaint been resolved? (277),status
I want to register a new query (278),request
Please log a request for water supply (279),request
The streetlight at Main St is broken (280),complaint
There is a pothole near Oak Avenue (281),complaint
Can you build a new park in our area? (282),suggestion
I would like more dustbins in the street (283),suggestion
What is the status of my query 123? (284),status
Has my complaint been resolved? (285),status
I want to register a new query (286),request
Please log a request for water supply (287),request
The streetlight at Main St is broken (288),complaint
There is a pothole near Oak Avenue (289),complaint
Can you build a new park in our area? (290),suggestion
I would like more dustbins in the street (291),suggestion
What is the status of my query 123? (292),status
Has my complaint been resolved? (293),status
I want to register a new query (294),request
Please log a request for water supply (295),request
The streetlight at Main St is broken (296),complaint
There is a pothole near Oak Avenue (297),complaint
Can you build a new park in our area? (298),suggestion
I would like more dustbins in the street (299),suggestion
What is the status of my query 123? (300),status
Has my complaint been resolved? (301),status
I want to register a new query (302),request
Please log a request for water supply (303),request
The streetlight at Main St is broken (304),complaint
There is a pothole near Oak Avenue (305),complaint
Can you build a new park in our area? (306),suggestion
I would like more dustbins in the street (307),suggestion
What is the status of my query 123? (308),status
Has my complaint been resolved? (309),status
I want to register a new query (310),request
Please log a request for water supply (311),request
The streetlight at Main St is broken (312),complaint
There is a pothole near Oak Avenue (313),complaint
Can you build a new park in our area? (314),suggestion
I would like more dustbins in the street (315),suggestion
What is the status of my query 123? (316),status
Has my complaint been resolved? (317),status
I want to register a new query (318),request
Please log a request for water supply (319),request
The streetlight at Main St is broken (320),complaint
There is a pothole near Oak Avenue (321),complaint
Can you build a new park in our area? (322),suggestion
I would like more dustbins in the street (323),suggestion
What is the status of my query 123? (324),status
Has my complaint been resolved? (325),status
I want to register a new query (326),request
Please log a request for water supply (327),request
The streetlight at Main St is broken (328),complaint
There is a pothole near Oak Avenue (329),complaint
Can you build a new park in our area? (330),suggestion
I would like more dustbins in the street (331),suggestion
What is the status of my query 123? (332),status
Has my complaint been resolved? (333),status
I want to register a new query (334),request
Please log a request for water supply (335),request
The streetlight at Main St is broken (336),complaint
There is a pothole near Oak Avenue (337),complaint
Can you build a new park in our area? (338),suggestion
I would like more dustbins in the street (339),suggestion
What is the status of my query 123? (340),status
Has my complaint been resolved? (341),status
I want to register a new query (342),request
Please log a request for water supply (343),request
The streetlight at Main St is broken (344),complaint
There is a pothole near Oak Avenue (345),complaint
Can you build a new park in our area? (346),suggestion
I would like more dustbins in the street (347),suggestion
What is the status of my query 123? (348),status
Has my complaint been resolved? (349),status
I want to register a new query (350),request
Please log a request for water supply (351),request
The streetlight at Main St is broken (352),complaint
There is a pothole near Oak Avenue (353),complaint
Can you build a new park in our area? (354),suggestion
I would like more dustbins in the street (355),suggestion
What is the status of my query 123? (356),status
Has my complaint been resolved? (357),status
I want to register a new query (358),request
Please log a request for water supply (359),request
The streetlight at Main St is broken (360),complaint
There is a pothole near Oak Avenue (361),complaint
Can you build a new park in our area? (362),suggestion
I would like more dustbins in the street (363),suggestion
What is the status of my query 123? (364),status
Has my complaint been resolved? (365),status
I want to register a new query (366),request
Please log a request for water supply (367),request
The streetlight at Main St is broken (368),complaint
There is a pothole near Oak Avenue (369),complaint
Can you build a new park in our area? (370),suggestion
I would like more dustbins in the street (371),suggestion
What is the status of my query 123? (372),status
Has my complaint been resolved? (373),status
I want to register a new query (374),request
Please log a request for water supply (375),request
The streetlight at Main St is broken (376),complaint
There is a pothole near Oak Avenue (377),complaint
Can you build a new park in our area? (378),suggestion
I would like more dustbins in the street (379),suggestion
What is the status of my query 123? (380),status
Has my complaint been resolved? (381),status
I want to register a new query (382),request
Please log a request for water supply (383),request
The streetlight at Main St is broken (384),complaint
There is a pothole near Oak Avenue (385),complaint
Can you build a new park in our area? (386),suggestion
I would like more dustbins in the street (387),suggestion
What is the status of my query 123? (388),status
Has my complaint been resolved? (389),status
I want to register a new query (390),request
Please log a request for water supply (391),request
The streetlight at Main St is broken (392),complaint
There is a pothole near Oak Avenue (393),complaint
Can you build a new park in our area? (394),suggestion
I would like more dustbins in the street (395),suggestion
What is the status of my query 123? (396),status
Has my complaint been resolved? (397),status
I want to register a new query (398),request
Please log a request for water supply (399),request
The streetlight at Main St is broken (400),complaint
There is a pothole near Oak Avenue (401),complaint
Can you build a new park in our area? (402),suggestion
I would like more dustbins in the street (403),suggestion
What is the status of my query 123? (404),status
Has my complaint been resolved? (405),status
I want to register a new query (406),request
Please log a request for water supply (407),request
The streetlight at Main St is broken (408),complaint
There is a pothole near Oak Avenue (409),complaint
Can you build a new park in our area? (410),suggestion
I would like more dustbins in the street (411),suggestion
What is the status of my query 123? (412),status
Has my complaint been resolved? (413),status
I want to register a new query (414),request
Please log a request for water supply (415),request
The streetlight at Main St is broken (416),complaint
There is a pothole near Oak Avenue (417),complaint
Can you build a new park in our area? (418),suggestion
I would like more dustbins in the street (419),suggestion
What is the status of my query 123? (420),status
Has my complaint been resolved? (421),status
I want to register a new query (422),request
Please log a request for water supply (423),request
The streetlight at Main St is broken (424),complaint
There is a pothole near Oak Avenue (425),complaint
Can you build a new park in our area? (426),suggestion
I would like more dustbins in the street (427),suggestion
What is the status of my query 123? (428),status
Has my complaint been resolved? (429),status
I want to register a new query (430),request
Please log a request for water supply (431),request
The streetlight at Main St is broken (432),complaint
There is a pothole near Oak Avenue (433),complaint
Can you build a new park in our area? (434),suggestion
I would like more dustbins in the street (435),suggestion
What is the status of my query 123? (436),status
Has my complaint been resolved? (437),status
I want to register a new query (438),request
Please log a request for water supply (439),request
The streetlight at Main St is broken (440),complaint
There is a pothole near Oak Avenue (441),complaint
Can you build a new park in our area? (442),suggestion
I would like more dustbins in the street (443),suggestion
What is the status of my query 123? (444),status
Has my complaint been resolved? (445),status
I want to register a new query (446),request
Please log a request for water supply (447),request
The streetlight at Main St is broken (448),complaint
There is a pothole near Oak Avenue (449),complaint
Can you build a new park in our area? (450),suggestion
I would like more dustbins in the street (451),suggestion
What is the status of my query 123? (452),status
Has my complaint been resolved? (453),status
I want to register a new query (454),request
Please log a request for water supply (455),request
The streetlight at Main St is broken (456),complaint
There is a pothole near Oak Avenue (457),complaint
Can you build a new park in our area? (458),suggestion
I would like more dustbins in the street (459),suggestion
What is the status of my query 123? (460),status
Has my complaint been resolved? (461),status
I want to register a new query (462),request
Please log a request for water supply (463),request
The streetlight at Main St is broken (464),complaint
There is a pothole near Oak Avenue (465),complaint
Can you build a new park in our area? (466),suggestion
I would like more dustbins in the street (467),suggestion
What is the status of my query 123? (468),status
Has my complaint been resolved? (469),status
I want to register a new query (470),request
Please log a request for water supply (471),request
The streetlight at Main St is broken (472),complaint
There is a pothole near Oak Avenue (473),complaint
Can you build a new park in our area? (474),suggestion
I would like more dustbins in the street (475),suggestion
What is the status of my query 123? (476),status
Has my complaint been resolved? (477),status
I want to register a new query (478),request
Please log a request for water supply (479),request
The streetlight at Main St is broken (480),complaint
There is a pothole near Oak Avenue (481),complaint
Can you build a new park in our area? (482),suggestion
I would like more dustbins in the street (483),suggestion
What is the status of my query 123? (484),status
Has my complaint been resolved? (485),status
I want to register a new query (486),request
Please log a request for water supply (487),request
The streetlight at Main St is broken (488),complaint
There is a pothole near Oak Avenue (489),complaint
Can you build a new park in our area? (490),suggestion
I would like more dustbins in the street (491),suggestion
What is the status of my query 123? (492),status
Has my complaint been resolved? (493),status
I want to register a new query (494),request
Please log a request for water supply (495),request
The streetlight at Main St is broken (496),complaint
There is a pothole near Oak Avenue (497),complaint
Can you build a new park in our area? (498),suggestion
I would like more dustbins in the street (499),suggestion
